OBJECTID_12,OBJECTID,PIN15,PermitNum,ISSUE_DATE,COMMENTS,DESCRIPTIO,PID,BLDB_ACTIV,TOTAL_ROOM,BLD_Cost,ESTIMATED_,ESTIMATE_1,SQFT_LAND,SQFT_FLOOR,BLD_Type,Occupancy,TYPE,PmtStatus,BLDB_ACT_1,Name
380,13741,0821-20-91-6147,17101123,6/28/2017 0:00,"E-mail sent 6/20/17. As of the re-review date, 21 June, 2017, there are current conditions or stop work orders for either this application or parcel on the LDO. John Read. Appendix B and contract pending
per contractor no mechanical work was conducted,","Note: Apartments #1 & #2  will be combined to make 1 first floor apartment. 2 second floor apartments remain and unaltered. This is a legal, non-conforming use. The apartment count of this structure CANNOT be increased after conversion without rezoning.",117352,I_ALT,0,10000,2500,0,0,2886,3-4 Residential Units,Residential (2),MULTI_FAMILY,CO Issued,Interior Alterations,R21
381,13742,0821-20-91-6028,23103250,,"Voiding permit per homeowner request, verif acct- email attached, No refund available- 11/21/2023- MN.
As of 7/20/23, there are no conflicting permits, stop work orders or other pertinent conditions on either the parcel or application in the LDO. The No","SMPR: Kitchen, Bathroom, Basement Renovation",117354,ALT,0,60454,0,0,0,0,Duplex,Duplex,MULTI_FAMILY,Void,Alterations,R21
382,13743,0821-20-90-5869,1011602,,"WILLIAM GRAHAM PAID $42 - CK 1420 - 6/2/10 Void permit per contractor request, see attachment. royb 15% SC 85% REFUND",RESIDENTIAL DEMOLITION,117358,DEM,0,1000,0,0,0,1300,Single Family House,Single Family,RESI,Void,Demolition,R21
383,13744,0821-20-90-5869,17100441,,"Application voided - 6+ months with no review response WCB 11-08-2017
As of the initial review date, 7 February, 2017, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read.
",general rehab,117358,ALT,0,29000,0,0,0,0,Single Family House,Single Family,RESI,Void,Alterations,R21
384,13745,0821-20-90-5854,1011603,,"WILLIAM GRAHAM PAID $42 - CK 1420 - 6/2/10 Void permit per contractor request, see attachment. royb 15% SC REFUND 85%
",RESIDENTIAL DEMOLITION,117359,DEM,0,1000,0,0,0,1040,Single Family House,Single Family,RESI,Void,Demolition,R21
385,13746,0821-20-90-5854,17100442,,"Application voided - 6+ months with no review response WCB 11-08-2017
As of the initial review date, 7 February, 2017, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read.
",general rehab,117359,ALT,0,29000,0,0,0,0,Single Family House,Single Family,RESI,Void,Alterations,R21
386,13747,0821-20-90-5739,1011604,,"WILLIAM GRAHAM PAID $42 - CK 1420 - 6/2/10 Void permit per contractor request, see attachment. royb  15% SC REFUND 85%
",RESIDENTIAL DEMOLITION,117360,DEM,0,1000,0,0,0,1400,Single Family House,Single Family,RESI,Void,Demolition,R21
387,13748,0821-20-90-5739,17100440,,"Application voided - 6+ months with no review response WCB 11-08-2017
As of the initial review date, 7 February, 2017, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read.
",general rehab,117360,ALT,0,29000,0,0,0,0,Single Family House,Single Family,RESI,Void,Alterations,R21
388,13774,0821-20-90-1766,17105214,1/6/2018 0:00,"As of the initial review date, 2 January, 2018,  there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read.  (BP 1.16.18) 
",Demolition of building,117416,DEM,0,1000,0,0,0,1120,Single Family House,Single Family,RESI,Void,Demolition,R21
389,13775,0821-20-90-1766,18104043,10/3/2018 0:00,Owner on app:  Durham Building Co.:  919-830-5569 Picked up permit 10/5/18 JM,SFD new Lot 11; No impervious limits; DW: 20ft; St. trees: per ZO; ZO,117416,NEW,4,101112,0,0,6221,1532,Single Family House,Single Family,RESI,CO Issued,New,R21
390,13776,0821-20-90-2788,1110006,2/7/2011 0:00,GC informed that a smoke alarm form is required for permit issuance.,  Addition & REMODEL. No impervious limits. (Note: see attached document concerning carbon monoxide detector requirement),117418,ADD,0,7000,2900,6000,5097,42.64,Single Family House,Single Family,RESI,CO Issued,Addition,R21
391,13777,0821-20-90-2788,1412302,7/30/2014 0:00,"As of the initial review date,  30 July, 2014, there are no conditions or stop work orders in the LDO.  John Read.
",FIRE DAMAGE REPAIRS,117418,RP,0,24000,4513.41,0,0,0,Single Family House,Single Family,RESI,CO Issued,Repair,R21
392,13778,0821-20-90-1896,18104044,10/12/2018 0:00,10/17/18 - gc picked up bldg permit - sm,SDF  new Lot 6; No impervious limits; St. trees: per ZO; ZO,117422,NEW,4,113058,0,0,6522,1713,Single Family House,Single Family,RESI,CO Issued,New,R21
393,13779,0821-20-90-1896,18104188,9/26/2018 0:00,BP PICKED UP 9/27/18,EXREV Demolition of house.,117422,DEM,0,1000,0,0,0,1248,Single Family House,Single Family,RESI,Issued,Demolition,R21
394,13780,0821-20-90-1896,21103244,6/29/2021 0:00,"permit issued/plans sent via email 7-2-21 CRW
Uploaded 6/25/21. BH
//GC license is valid. AF 6-29-2021//",SMPR - Rooftop Solar Panels,117422,ALT,0,1000,17000,0,0,0,Single Family House,Single Family,RESI,CO Issued,Alterations,R21
395,13781,0821-91-40-1316,22102241,, ,DEMOLITION OF SFD,117438,DEM,0,0,0,0,0,0,Single Family House,Single Family,RESI,Void,Demolition,R21
396,13782,0821-91-40-1316,23105636,,D-plans    gc contact on appl - barbeeconstructionservices@yahoo.com    arch contact on appl - dreamhomesbydesign@gmail.com    There is an active NIS condition - see C-20852.,New SFD No per lot MAIS,117438,NEW,7,602823,0,0,6554,4901,Single Family House,Single Family,RESI,Disapproved,New,R21
397,13783,0821-91-40-1316,23103773,9/11/2023 0:00,"Docs sent via email 9-11-23 WCB.
This parcel is in the Stokesdale Historic District. There is an active NIS condition. See C-20852.  The owner is listed on the Durham County Tax records as Vista Properties. Permit applications 22101828 and 22102241 will",SMPR: Demolition,117438,DEM,0,1100,0,0,0,1875,Single Family House,Single Family,RESI,Issued,Demolition,R21
398,13784,0821-91-40-1316,1510530,5/11/2015 0:00,No start within 6 mos. per statutory requirement voided 6-28-2016,RENOVATION FROM 2ND FLOOR BEDROOM FIRE per scope of work,117438,RP,0,15000,5000,0,0,0,Single Family House,Single Family,RESI,Void,Repair,R21
399,13785,0821-91-40-1316,22101828,,"There are no conflicting permits. NIS condition C-20852 is still active. An e-mail was sent to the applicant via LDO at 5:31 P.M. on 4/22/22. Waiting on Plans, will update once received - 04/18/2022-MN",SMPRRenovation of property,117438,ALT,0,29999,0,0,0,0,Single Family House,Single Family,RESI,Void,Alterations,R21
400,13793,0821-81-81-0168,17100836,3/13/2017 0:00,"As of the initial review date, 13 March, 2017, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read.  GC paid $250 - Visa - 03/08/17   The owner listed on the application is LarGerko LLC. (contr",FIRE DAMAGE REPAIR - DRYWALL - WINDOWS - WIRING - PAINT,117452,MN,0,7000,3500,0,0,0,Single Family House,Single Family,RESI,CO Issued,Minimum Housing,R21
401,13794,0821-81-80-0682,18105323,5/29/2019 0:00,D-plans - 12/19/18 (picked up 6/14/19),LOT 1R SF; No impervious limits; St. trees: per ZO; ZO,117453,NEW,4,121000,0,0,4967,1414,Single Family House,Single Family,RESI,CO Issued,New,R21
402,13826,0830-05-19-9633,23101508,4/13/2023 0:00,"Permit docs sent via email 4-18-23 CRW  
As of 13 April, 2023, there are no conflicting permits, stop work orders or other pertinent conditions on either the parcel or application in the LDO. The North Carolina contracting license number listed by the a",SMPRInstall supports to support existing floor joist system.,117646,RP,0,11481,0,0,0,0,Single Family House,Single Family,RESI,Issued,Repair,S22
403,13827,0830-05-19-9426,18101910,5/1/2018 0:00,"Voided per request 8-22-18 WCB
jupchurch@callprogressive.com  and to info@callprogressive.com were  sent e-mails on 5/1/18 by JKR. The contracting license number is valid, is the proper classification for this project and the financial limitation of the",EXREV   remove and replace kitchen floor. (water damage),117649,RP,0,10000,0,0,0,0,Single Family House,Single Family,RESI,Void,Repair,S22
404,13828,0830-05-19-9426,18102261,5/31/2018 0:00, ,"EX. REV: FLOOR SYSTEM REPAIR, ELEC & PLUMB REPLACE",117649,I_ALT,0,8000,6000,0,0,0,Single Family House,Single Family,RESI,CO Issued,Interior Alterations,S22
405,13829,0830-05-19-9401,18103903,9/5/2018 0:00,"6+ months
 As of the initial review date, 5 September, 2018,  there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read.
",EXREV: CRAWL SPACE ENCAPSULATION withGFI OUTLET,117650,ALT,0,5000,200,0,0,0,Single Family House,Single Family,RESI,Void,Alterations,S22
406,13830,0830-05-19-8394,1110862,4/25/2011 0:00, ,9ft x 12ft sunroom on back of house. No impervious limits.,117651,ADD,0,10000,0,0,11935,108,Single Family House,Single Family,RESI,CO Issued,Addition,S22
407,13831,0830-05-19-8394,1112131,7/13/2011 0:00,  The homeowner/applicant/builderfts # is 919-682-8906.   Attempted to notify the homeowner that a plot plan is required for permit review - called several times and got a busy signal. Note: changed bin # from 2 to 3 on 7/6/11 - DM.,12x16 STORAGE SHED.   The homeowner/contractorfts # is 919-682-8906. No impervious limits.,117651,OT,0,1799,0,0,11935,192,Accessory Structure,Single Family,RESI,CO Issued,Other,S22
408,13848,0830-19-87-1988,23104346,9/25/2023 0:00,"Permit docs sent via email 9-27-23 CRW
As of 9/19/23, there are no conflicting permits, stop work orders or other pertinent conditions on either the parcel or application in the LDO. The North Carolina contracting license number listed by the applicant,",SMPR: New side and rear foundation walls and footing. Does not include deck renovation/alteration beyond reattachment to foundation. All comments are pertinent.,117670,RP,0,20000,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Repair,S22
409,13849,0830-05-19-8178,23102801,6/27/2023 0:00,"Permit docs sent via box.com 6-28-23 CRW  
Uploaded 6/21/23. BH
GC email on app: stephanieriggins@rbatriad.com
//No conflicting permits and GC is active. AF 6-26-2023//",SMPR - Window Replacements,117680,ALT,0,65848,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Alterations,S22
410,14115,0821-81-46-6284,17104129,10/17/2017 0:00," As of the initial review date, 19 October, 2017, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read. (picked up 12/6/17. rlc)
",Demolition of duplex.,118335,DEM,0,1000,0,0,0,1152,Duplex,Duplex,MULTI_FAMILY,Void,Demolition,R21
411,14116,0821-81-46-6284,18102286,7/12/2018 0:00,D-plans by email Picked up permit 7/16/18 JM,Lot 3   SFD new; No impervious limits; St. trees: per ZO; ZO,118335,NEW,4,121000,0,0,6697,1612,Single Family House,Single Family,RESI,CO Issued,New,R21
412,14117,0821-81-56-0094,17104130,12/1/2017 0:00," As of the initial review date, 19 October, 2017, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read. (picked up 12/6/17. rlc)
",Demolition of duplex.,118336,DEM,0,1000,0,0,0,1152,Duplex,Duplex,MULTI_FAMILY,Void,Demolition,R21
413,14118,0821-81-56-0094,18102287,7/11/2018 0:00,Picked up permit 7/16/18 JM DPLANS EMAIL 5.21.18,NEW SFD LOT 1 ; No impervious limits; St. trees: per ZO; ZO,118336,NEW,4,121000,0,0,6545,1414,Single Family House,Single Family,RESI,CO Issued,New,R21
414,14119,0821-20-81-5559,17104131,12/1/2017 0:00," As of the initial review date, 19 October, 2017, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read. (picked up 12/6/17. rlc)
",Demolition of duplex.,118337,DEM,0,1000,0,0,0,1152,Duplex,Duplex,MULTI_FAMILY,Void,Demolition,R21
415,14120,0821-20-81-5559,18102288,7/25/2018 0:00,"DPLANS EMAIL 5.18.18 
Plans for 115 Dunstan attached at log-in. Plans corrected and re-reviewed by WCB 7-09-18
MB, 7/23/18: Although demolition permit voided and no official proof of demo provided, applicant provided email verifying existing dwelling w","NEW SFD, LOT 2; No impervious limits; St. trees: per ZO; ZO",118337,NEW,4,110748,0,0,6537,1678,Single Family House,Single Family,RESI,CO Issued,New,R21
416,14121,0821-20-81-5559,21103381,7/7/2021 0:00,permit issued via email. 7/7/21. rlc.,SMPR: Solar,118337,ALT,0,8000,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Alterations,R21
417,14122,0821-20-81-5588,18103336,8/27/2018 0:00,Picked up permiot 8/30/18Jm,New SFH Lot 3; No impervious limits; St. trees: per ZO; ZO,118338,NEW,4,110748,0,0,5076,1678,Single Family House,Single Family,RESI,CO Issued,New,R21
418,14123,0821-20-81-5588,19105117,12/10/2019 0:00,"Picked up permit-MN-12.12.19
Uploaded 11/22/19 no flood plain on GIS",EXREV: Installation of a 8.06kW residential solar system,118338,ALT,0,10991,10991,0,0,0,Single Family House,Single Family,RESI,CO Issued,Alterations,R21
419,14124,0821-20-81-5588,17104132,12/1/2017 0:00," As of the initial review date, 19 October, 2017, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read. (picked up 12/6/17. rlc)
",Demolition of duplex.,118338,DEM,0,1000,0,0,0,1152,Duplex,Duplex,MULTI_FAMILY,Void,Demolition,R21
420,14125,0821-20-81-6516,18103537,8/27/2018 0:00,D-plans 8/2/18 Pick up permit 8/30/18 Jm,"Merrick Moore Spaulding Co., Lot 4 SFD new; No impervious limits; St. trees: per ZO; ZO",118339,NEW,4,121000,0,0,5911,1561,Single Family House,Single Family,RESI,CO Issued,New,R21
421,14126,0821-20-81-6516,17104133,12/1/2017 0:00," As of the initial review date, 19 October, 2017, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read. (picked up 12/6/17. rlc)
",Demolition of duplex.,118339,DEM,0,1000,0,0,0,1152,Duplex,Duplex,MULTI_FAMILY,Void,Demolition,R21
422,14127,0821-20-81-6554,18103357,8/27/2018 0:00,Picked up permit 8/30/18 Jm,SFH New Lot 5; No impervious limits; St. trees: per ZO; ZO,118340,NEW,4,109494,0,0,7397,1659,Single Family House,Single Family,RESI,CO Issued,New,R21
423,14128,0821-20-81-6554,17104134,12/1/2017 0:00," As of the initial review date, 19 October, 2017, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read. (picked up 12/6/17. rlc)
",Demolition of duplex.,118340,DEM,0,1000,0,0,0,1152,Duplex,Duplex,MULTI_FAMILY,Void,Demolition,R21
424,14129,0821-20-81-6593,17104136,12/1/2017 0:00," As of the initial review date, 19 October, 2017, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read. (picked up 12/6/17. rlc)
",Demolition of duplex.,118341,DEM,0,1000,0,0,0,1080,Duplex,Duplex,MULTI_FAMILY,Void,Demolition,R21
425,14130,0821-20-81-6593,18103356,8/31/2018 0:00,bp picked up 9/5/18,SFH New lot 6; No impervious limits; St. trees: per ZO; ZO,118341,NEW,5,126456,0,0,5639,1916,Single Family House,Single Family,RESI,CO Issued,New,R21
426,14131,0821-20-81-6496,17104137,12/1/2017 0:00," As of the initial review date, 19 October, 2017, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read. (picked up 12/6/17. rlc)
",Demolition of duplex. The stream buffer must be maintained.  Easement.,118342,DEM,0,10000,0,0,0,1152,Duplex,Duplex,MULTI_FAMILY,Void,Demolition,R21
427,14132,0821-20-81-8430,1510209,3/5/2015 0:00,"The owner listed on the application is Fransisco Javier Toledo Garcia (919) 669-4646
franciscopaint@ion.com","REMODEL HOUSE - renovations to first floor - no structrual, repair crawl space (see structural plans)",118345,ALT,0,3000,2500,0,0,800,Single Family House,Single Family,RESI,CO Issued,Alterations,R21
428,14133,0821-20-81-8430,1411614,6/4/2014 0:00,"Capital Ventures paid $250 - ck 135 - 05/30/14. PERMIT PICKED UP 6/4/14.
1/23/15 permit voided, new property owner - expanded scope of work beyond minimum housing scope. new permit required. F Gardner",REHAB,118345,MN,0,9000,4000,0,0,0,Single Family House,Single Family,RESI,Void,Minimum Housing,R21
429,14138,0821-20-91-4265,811980,7/18/2008 0:00,THE OWNER LISTED ON THE APPLICATION IS SAMUEL BARNES. Plans will consist of application form and asbestos forms. Please note: In the local historic district. S. Cruseft approval letter attached.,Demolition of house. Please note: Approved by Steve Cruse of Planning to remove hazardous condition,118357,DEM,0,1000,0,0,0,900,Single Family House,Single Family,RESI,CO Issued,Demolition,R21
430,14169,0821-20-91-5447,1411702,,No permit is required. To issue a permit granting permissions to install plexiglass  in lieu of plywood over existing window openings would allow a violation of the emergency rescue opening requirements R-310  of the 2012 N.C. Residential Code. John Read,REPLACE PLYWOOD WITH PLEXIGLAS - not for occupancy,118378,MN,0,0,0,0,0,0,Single Family House, , ,Void,Minimum Housing,R21
431,14170,0821-20-91-5447,1512339,7/16/2015 0:00,"VOIDED 8-24-2016 APPROVED PERMIT NEVER PICKED UP  
Not for habibtation!!!!! J. Read.
Danny T Sullivan paid $125.00 by visa over the phone 7.2.15",replace plywood withplexiglass- re: 1411702. Not for habibtation!!!!! J. Read.,118378,MN,0,4000,0,0,0,0,Single Family House,Single Family,RESI,Void,Minimum Housing,R21
432,14171,0821-20-91-5447,18104340,10/24/2018 0:00,emaied comments to: atlanticcoastconstruction2017@gmail.com CW 10/24/18,"EXREV   interior remodel, expand front porch",118378,I_ALT,-1,67500,6500,8300,0,86,Single Family House,Single Family,RESI,CO Issued,Interior Alterations,R21
433,14172,0821-20-91-5543,1310884,4/9/2013 0:00,"CONDITION- STOP WORK ORDER ON JOB (fee must be doubled). Note: project is located within a historic district, but Planning (historic/design district) review not checked. Added by Don Moore on 4/3/13.
Void - no response JWR",RECONSTRUCTION/ALTERATIONS,118379,I_ALT,0,20000,2900,750,0,0,Single Family House,Single Family,RESI,Void,Interior Alterations,R21
434,14173,0821-20-91-5543,1511928,7/16/2015 0:00,"The name of the owner as of 2014 is Jerome Ramsey, according to the Durham, County Tax Office.Daniel Sullivan paid $75 - ck 2123 - 06/03/15.As of 9 June, 2015, there are no conditions or stop work orders on either the parcel or application in the LDO. Jo",RESIDENTIAL DEMOLITION,118379,DEM,0,1000,0,0,0,1800,Single Family House,Single Family,RESI,CO Issued,Demolition,R21
435,14174,0821-20-91-5549,15104514,3/8/2016 0:00,"( SIDE A ADDED 7/20/16 GB)Owner/Contractor: Frankie White 919688 975 
flw@whitesent.com (BP picked up 3.8.16 CG)",SIDE A-  REMODEL; duplex; no impervious limits; foundation survey reqftd,118380,ADD,0,15000,3000,1800,0,1310,Duplex,Duplex,MULTI_FAMILY,CO Issued,Addition,R21
436,14175,0821-20-91-5549,16102728,7/18/2016 0:00,Administrative permit no fee.WCB    (SIDE B ADDED 7/20/16 GB),"SIDE B - RE 15104514 Admin permit to facilitate Elec 
(second service) Service for duplex",118380,ALT,0,10,0,0,0,1310,Duplex,Duplex,MULTI_FAMILY,CO Issued,Alterations,R21
437,15458,0841-17-02-2619,19103955,10/24/2019 0:00,"(bp picked up 10/25/19)  architect # doesnftt appear in name viewer   sh
owner on application: FMC Coradine   sh

AE/SPK approved- Permit needed",New Warehouse   Lot 608,121051,NEW,0,342928,73861,63310,0,6512,Non-Residential,Storage (1),NON_RESI,CO Issued,New,R24
438,15464,0831-91-59-1775,20100265,2/7/2020 0:00,"Manually changed status to issued 2-10-2020 CW (picked up 2/10/2020)
crdlgreen@yahoo.com     was sent an e-mail 2 x by J. Read, 2/4/20.   There is a stop work order on this parcel. See  C-51194. The fees have been duly doubled.  John K. Read, Jr.",EXREV: RENOVATION,121110,ALT,0,11000,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Alterations,R24
439,15465,0831-20-92-6101,23102960,9/8/2023 0:00,"Permit Docs sent via box.com 9-11-23 CRW
CID account has been updated to reflect active license as the company had more than one account in our system.  7-11-23 CRW
As of 7/5/23, there are no conflicting permits, stop work orders or other pertinent con","SMPRAddition of bathroom. bedroom, and renovation of interior, plumbing, electrical, mechanical. No MAIS.",121112,ADD,0,126325,0,0,0,385,Single Family House,Single Family,RESI,Issued,Addition,R24
440,15478,0831-20-91-5870,1113487,11/10/2011 0:00,Plans consist of demolition permit application form and informational documents.,RESIDENTIAL DEMOLITION,121140,DEM,0,1000,0,0,0,1000,Single Family House,Single Family,RESI,CO Issued,Demolition,R24
441,15479,0831-20-91-5870,15104310,12/10/2015 0:00,Demolition permit 1113487 no impact fees 5-4-16 dki,"SFD -THE OAK no impervious, street trees req.",121140,NEW,6,95700,0,0,8832,1450,Single Family House,Single Family,RESI,CO Issued,New,R24
442,15480,0831-20-91-4850,20102231,5/18/2020 0:00,"permit issued via email 5-21-20 CRW
Review fees emailed 5/15/2020. rlc (Marie Evans owner on app)","SMPR   Install push pier to support the foundation using a low profile bracket, SmartJack supports, a supplemental beam",121142,RP,0,20341,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Repair,R24
443,15481,0831-20-91-3800,17104877,12/6/2017 0:00," As of the initial review date, 5 December, 2017, there are no current conditions or stop work orders for either this application or parcel on the LDO. John Read. 
","Saftey & Health repairs, water damage repairs, kitchen and laundry.",121144,I_ALT,0,8500,3000,5000,0,0,Single Family House,Single Family,RESI,CO Issued,Interior Alterations,R24
444,15482,0831-20-81-8881,1111026,6/13/2011 0:00,"Notified GC that a smoke/carbon monoxide form is required for permit issuance.
MECH FINAL NEVER APPD",ADDITION TO REAR OF HOME - no impervious limits.,121150,ADD,0,48500,2500,3000,8712,816,Single Family House,Single Family,RESI,Void,Addition,R24
445,15496,0831-20-81-5969,18104394,10/16/2018 0:00, ,EXREV Interior Alteration,121200,I_ALT,0,19000,6000,0,0,0,Single Family House,Single Family,RESI,CO Issued,Interior Alterations,R24
446,16166,0810-15-53-3956,18103158,9/6/2018 0:00,The re-review fee was paid. A $ 200 re-view fee has been imposed. No re-review will take place until this fee is paid in our office. HOMEENVYRENO@GMAIL.COM was sent an e-mail on 7/23/18; 8/9/18; 8/23/18  by JKR. As of the initial review date and there ar, EXREV: REPLACE EXISTING DECK. Stream buffer.,121816,R_DECK,0,4000,0,0,0,160,Duplex,Duplex,MULTI_FAMILY,CO Issued,Residential - Decks,U17
447,16225,0810-08-97-1829,1210494,3/2/2012 0:00,"Survey not required, scope revised to include interior renovations",Addition to single family house; no impervious surface restrictions.,121971,ADD,0,76700,6000,6700,30421,1296,Single Family House,Single Family,RESI,CO Issued,Addition,S18
448,16226,0810-08-98-0081,1112982,10/24/2011 0:00,9/23/11 EMAILED OWNER THAT WE NEED A PLOT PLAN- OWNERftS # IS 919-270-8815,RENOVATION OF DETACHED BUILDING ON PROPERTY; OWNERftS PHONE # IS 919-270-8815,121972,OT,0,5000,2000,0,0,0,Accessory Structure,Single Family,RESI,CO Issued,Other,S18
449,16237,0810-08-98-3008,1411560,5/30/2014 0:00,Lucy Stokes paid $75 - MC - 05/22/14 ; permit picked up 6/3/14.,RESIDENTIAL DEMOLITION,121983,DEM,0,1000,0,0,0,800,Single Family House,Single Family,RESI,CO Issued,Demolition,S18
450,16238,0810-98-40-8034,22101464,5/11/2022 0:00,"Permit issued sent through email- 05/24/2022-MN 

no conflciting permits, 9483 is active arch license - 4/6/2022 LAC",SMPR   screen porch addition to west side of house replacing existing deck,121989,ADD,0,24200,0,0,0,0,Single Family House,Single Family,RESI,Issued,Addition,S18
451,16242,0810-98-60-2541,1411826,6/19/2014 0:00,"   As of the initial review date, 18 June, 2014, there are no conditions or stop work orders in the LDO.  John Read. - GC picked up bldg permit 07/07/14.
",TREE DAMAGE ROOF EMERGENCY REPAIR,121999,RP,0,14000,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Repair,S18
452,16243,0810-08-98-7018,1211639,6/19/2012 0:00,House is an existing non-conforming structure but was burned in January 2012 and is being replaced in the same footprint in accordance with UDO section 14.2.4,TEAR HOUSE DOWN TO FOUNDATION - REPLACE withNEW - no impervious limits.,122000,ALT,4,100000,7000,9000,10019,1940,Single Family House,Single Family,RESI,CO Issued,Alterations,S18
453,16244,0810-08-98-7018,1513217,9/10/2015 0:00,bp picked up 9/14/15,"CONVERT EXISTING DECK TO SCREEN PORCH, No Impervious",122000,ADD,1,17772,1770,0,0,240,Single Family House,Single Family,RESI,CO Issued,Addition,S18
454,16245,0810-98-81-8993,1313181,10/18/2013 0:00, ,MOVE HOUSE FROM 4948 DURHAM ROAD (WAKE FOREST HWY) TO 2922 HOPE VALLEY ROAD; no impervious surface restrictions; street trees as required by UDO.,122003,MOVE,0,1000,0,0,16117,1190,Single Family House,Single Family,RESI,CO Issued,Moving,S18
455,16246,0810-98-81-8993,1513368,10/8/2015 0:00,"There is a stop work order on this job - .fees doubled
Owner/Contractor: David Tucker 919-264-3391
writetotucker@yahoo.com",16x20 FOOT DECK - 8x8 STOOP /NOTE: reference NIS permit #1313181 for house move /footings inspected and approved by Clarence Harris of Durham NIS,122003,R_DECK,0,4000,0,0,0,320,Single Family House,Single Family,RESI,CO Issued,Residential - Decks,S18
456,16248,0820-05-07-8976,1111793,6/17/2011 0:00, ,BACKYARD DECK (attached to house),122005,R_DECK,0,4000,0,0,0,540,Single Family House,Single Family,RESI,Void,Residential - Decks,S18
457,16249,0820-05-07-8976,20101429,5/7/2020 0:00,"/Approved docs sent to applicant via email 5/7/2020 AF //
allen.rynish@gmail.com    was sent an e-mail by John K. Read, Jr. As of the review date, there are no existing, conflicting permits, stop work orders or current conditions. John K. Read, Jr.",SMPR- ACCESSSORY STRUCTURE 12 X 20,122005,OT,0,15000,0,0,0,288,Accessory Structure,Single Family,RESI,CO Issued,Other,S18
458,16250,0820-05-07-9978,19101696,5/16/2019 0:00,"Picked up by GC 5/17/19. 
Contractorfts State License is valid","EXREV   kitchen and entry renovation, and new storage shed NO MAIS LIMITS NO STREET TREES",122006,ALT,0,101609,11952,3000,0,76,Single Family House,Single Family,RESI,CO Issued,Alterations,S18
459,16251,0820-05-07-9978,17104093,10/17/2017 0:00, ,Install Helical piers for foundation repair,122006,RP,0,2500,0,0,0,0,Single Family House,Single Family,RESI,Issued,Repair,S18
460,16252,0820-05-07-0772,18104687,11/8/2018 0:00," The contracting license number is valid, is the proper classification for this project and the financial limitation of the license for this application has not been exceeded as of the review date. As of the initial review date, 6 November , 2018, there",EXREVIEW 5 Helical Piers . CMU Block Piers 2x6 drop girder seee Propasal -,122009,RP,0,19800,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Repair,S18
461,16253,0820-05-07-1765,18101863,5/3/2018 0:00,"The contracting license number is valid, is the proper classification for this project and the financial limitation of the license for this application has not been exceeded as of the review date. As of the final review date, 2 May, 2018, there are no cu","EXREV   install 12  8inx16in CMU block piers, (2) 2inx10in girder",122010,RP,0,9900,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Repair,S18
462,16254,0820-05-07-2768,1110778,3/25/2011 0:00,The owner listed on the application is Howard Reisner.,"RENOVATIONS - FLOORING, WINDOWS & DOOR - PAINT - STRUCTURAL FLOOR SUPPORT",122011,ALT,0,81180,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Alterations,S18
463,16255,0820-05-07-2768,1110779,3/21/2011 0:00,The owner listed on the application is Howard Reisner. Plans consist of scope of work (see attachment).,ADD  FOUNDATION SUPPORT TO FLOOR SYSTEM,122011,RP,0,6400,0,0,0,0,Single Family House,Single Family,RESI,CO Issued,Repair,S18
464,16256,0820-05-07-2768,1112116,7/13/2011 0:00, ,DECK,122011,R_DECK,0,3900,0,0,0,208,Single Family House,Single Family,RESI,CO Issued,Residential - Decks,S18
465,16257,0820-05-07-2768,19102348,6/25/2019 0:00,"(bp picked up 7.26.19) e-mailed comments to: m.a.mazurowski@gmail.com CW 5/28/19
e-mailed comments to: m.a.mazurowski@gmail.com CW 6/20/19",ExRev Shed 12 X 16 NO MAIS LIMITS,122011,OT,0,6600,0,0,0,192,Single Family House,Single Family,RESI,CO Issued,Other,S18
466,16258,0820-05-07-4853,810252,2/15/2008 0:00,Bin 54,PORCH ADDITION,122013,ADD,0,13000,1500,0,14798,272,Single Family House,Single Family,RESI,CO Issued,Addition,S18
